user_id,unique_categories,unique_skus,count_conversions,sum_revenue,recency,frequency,country,state,gender,age,churn_label,feature_window_start,feature_window_end,label_window_end,window_length_days,churn_probability
user_700,6,12,14,487.28,10,11.214285714285714,country_x,state_15,female,52,0,2024-03-01,2024-09-01,2024-11-01,184,0.49852097325875355
user_7000,6,13,13,327.64,3,13.0,country_x,state_4,female,65,0,2024-03-01,2024-09-01,2024-11-01,184,0.49857646401094424
user_7001,5,10,10,356.71,1,17.6,country_x,state_4,male,20,0,2024-03-01,2024-09-01,2024-11-01,184,0.49857413894341995
user_7002,7,21,21,706.6999999999999,1,8.666666666666666,country_x,state_5,male,38,0,2024-03-01,2024-09-01,2024-11-01,184,0.49852097325875355
user_7003,5,15,15,458.92,30,9.666666666666666,country_x,state_14,female,51,0,2024-03-01,2024-09-01,2024-11-01,184,0.49857646401094424
user_7011,3,6,6,193.51,16,16.666666666666668,country_x,state_8,male,45,0,2024-03-01,2024-09-01,2024-11-01,184,0.4987624126200979
user_7004,5,7,7,261.53,12,17.714285714285715,country_x,state_15,female,66,0,2024-03-01,2024-09-01,2024-11-01,184,0.4987624126200979
user_7007,9,14,14,557.06,16,11.857142857142858,country_x,state_14,female,57,0,2024-03-01,2024-09-01,2024-11-01,184,0.49852097325875355
user_7006,3,3,3,64.86000000000001,124,18.0,country_x,state_14,male,37,1,2024-03-01,2024-09-01,2024-11-01,184,0.4993318613209167
user_7008,7,17,17,565.94,33,7.647058823529412,country_x,state_14,male,29,0,2024-03-01,2024-09-01,2024-11-01,184,0.49852097325875355
user_7009,7,19,19,644.48,14,8.052631578947368,country_x,state_14,male,56,0,2024-03-01,2024-09-01,2024-11-01,184,0.49852097325875355
user_701,1,2,2,58.519999999999996,57,34.0,country_x,state_1,female,33,1,2024-03-01,2024-09-01,2024-11-01,184,0.4999558058922786
user_7010,3,4,4,158.51,22,19.25,country_x,state_9,male,63,0,2024-03-01,2024-09-01,2024-11-01,184,0.4993318613209167
user_70,4,7,7,209.10999999999999,30,19.857142857142858,country_x,state_14,female,54,1,2024-03-01,2024-09-01,2024-11-01,184,0.4987624126200979
user_7005,6,23,23,976.8299999999999,6,7.695652173913044,country_x,state_5,male,26,0,2024-03-01,2024-09-01,2024-11-01,184,0.49852097325875355
user_7,4,7,7,188.74,22,22.0,country_x,state_11,male,60,0,2024-03-01,2024-09-01,2024-11-01,184,0.4988705675187904
user_6991,5,7,8,362.28,63,11.125,country_x,state_4,female,24,0,2024-03-01,2024-09-01,2024-11-01,184,0.4987348915080465
user_6998,6,24,24,876.28,7,7.041666666666667,country_x,state_13,female,21,0,2024-03-01,2024-09-01,2024-11-01,184,0.49850962749640515
user_7012,3,23,23,777.79,7,7.565217391304348,country_x,state_9,female,65,0,2024-03-01,2024-09-01,2024-11-01,184,0.49852097325875355
user_6984,3,6,6,265.99,31,24.333333333333332,country_x,state_9,female,22,0,2024-03-01,2024-09-01,2024-11-01,184,0.4988542837632597
